cell,variant,model,corpus,kind,quantitative,unmatched,n_windows,n_docs,bpb,gain,gain_ci,c_hat,fit_accepted,beta,Linf,beta_ci,fit_reason
q25c-0.5b__qutip__full_topo,masked_c2024_11_noflag,q25c-0.5b,qutip,full_topo,False,False,9,12,0.313,,,,False,,,,cell below quantitative floors (w=9 d=12)
q25c-0.5b__qutip__full_topo,masked_c2025_04,q25c-0.5b,qutip,full_topo,False,False,6,10,0.3293,,,,False,,,,cell below quantitative floors (w=6 d=10)
q25c-0.5b__qutip__full_topo,masked_c2025_04_noflag,q25c-0.5b,qutip,full_topo,False,False,6,8,0.3002,,,,False,,,,cell below quantitative floors (w=6 d=8)
q25c-0.5b__qutip__full_topo,masked_c2026_02,q25c-0.5b,qutip,full_topo,False,False,2,2,0.6099,,,,False,,,,cell below quantitative floors (w=2 d=2)
q25c-0.5b__qutip__full_topo__perdoc,main,q25c-0.5b,qutip,full_topo__perdoc,True,False,183,183,0.3967,0.6116907106063907,"[0.5548261740159619, 0.6743242078827024]",46340.95001184158,False,,,,failed frozen holdout gate
q25c-0.5b__qutip__full_topo__perdoc,masked_c2024_11,q25c-0.5b,qutip,full_topo__perdoc,False,False,14,14,0.3427,0.6739483392603827,,5792.618751480198,False,,,,cell below quantitative floors (w=14 d=14)
q25c-0.5b__qutip__full_topo__perdoc,masked_c2024_11_noflag,q25c-0.5b,qutip,full_topo__perdoc,False,False,12,12,0.3217,0.6264364725010715,,5792.618751480198,False,,,,cell below quantitative floors (w=12 d=12)
q25c-0.5b__qutip__full_topo__perdoc,masked_c2025_04,q25c-0.5b,qutip,full_topo__perdoc,False,False,10,10,0.3442,0.762807903399016,,5792.618751480198,False,,,,cell below quantitative floors (w=10 d=10)
q25c-0.5b__qutip__full_topo__perdoc,masked_c2025_04_noflag,q25c-0.5b,qutip,full_topo__perdoc,False,False,8,8,0.3161,0.569232736562256,,1448.1546878700494,False,,,,cell below quantitative floors (w=8 d=8)
q25c-0.5b__qutip__full_topo__perdoc,masked_c2026_02,q25c-0.5b,qutip,full_topo__perdoc,False,False,2,2,0.6152,,,,False,,,,cell below quantitative floors (w=2 d=2)
q25c-0.5b__qutip__full_topo__ph16384,main,q25c-0.5b,qutip,full_topo__ph16384,True,False,21,180,0.389,0.6731269450604108,"[0.5394922492178862, 0.8608684859666326]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__qutip__full_topo__ph16384,masked_c2024_11,q25c-0.5b,qutip,full_topo__ph16384,False,False,7,14,0.3292,,,,False,,,,cell below quantitative floors (w=7 d=14)
q25c-0.5b__qutip__full_topo__ph16384,masked_c2024_11_noflag,q25c-0.5b,qutip,full_topo__ph16384,False,False,7,12,0.3078,,,,False,,,,cell below quantitative floors (w=7 d=12)
q25c-0.5b__qutip__full_topo__ph16384,masked_c2025_04,q25c-0.5b,qutip,full_topo__ph16384,False,False,5,10,0.3272,,,,False,,,,cell below quantitative floors (w=5 d=10)
q25c-0.5b__qutip__full_topo__ph16384,masked_c2025_04_noflag,q25c-0.5b,qutip,full_topo__ph16384,False,False,5,8,0.2982,,,,False,,,,cell below quantitative floors (w=5 d=8)
q25c-0.5b__qutip__full_topo__ph16384,masked_c2026_02,q25c-0.5b,qutip,full_topo__ph16384,False,False,2,2,0.6069,,,,False,,,,cell below quantitative floors (w=2 d=2)
